ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Location_Center_X,Location_Center_Y,Location_Center_Z,Neighbors_AngleBetweenNeighbors_Expanded,Neighbors_FirstClosestDistance_Expanded,Neighbors_FirstClosestObjectNumber_Expanded,Neighbors_NumberOfNeighbors_Expanded,Neighbors_PercentTouching_Expanded,Neighbors_SecondClosestDistance_Expanded,Neighbors_SecondClosestObjectNumber_Expanded,Number_Object_Number,Parent_RunOmnipose,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
9,2,221,420,133,81,105,66,118.85067873303167,72.95475113122171,1.6909088030030852,238,0.9564450276309991,16.774562271083887,1,0.5261904761904762,0.5913979501579161,31.193838894923616,28.792360097775937,4.47213595499958,2.269090199316279,2.0,8.272305270162521,9.105871574619375,-67.33118499079065,68.5269119345812,0.9285714285714286,118.85067873303167,72.95475113122171,0,80.54609608005683,8.554068619295531,1,2.0,48.30508474576271,27.663203358044193,4,2,2,18.91964830553704,14.985359881901902,nan,21.103905965931958,2,9,0.8964998392278205,8.0,2,13.629502262443438,-6.228778280542997
9,3,191,336,103,84,79,70,90.56020942408377,76.34031413612566,1.4558557216580874,206,0.9339987438682331,15.594510349620345,1,0.5684523809523809,0.6868812514340987,26.17103088453853,24.351591323771842,4.47213595499958,2.290072648917472,2.23606797749979,8.666224568741688,9.350288785343226,-67.53791726030859,59.112698372208094,0.9271844660194175,90.56020942408377,76.34031413612566,0,92.985420099833,8.574126370064768,4,2.0,59.43877551020408,25.77123997035298,1,3,3,7.319223900301593,0.4876804143068721,nan,13.929667656529073,1,9,0.5254413874598758,8.0,3,-0.06616420228985476,0.48317127898279466
9,4,225,420,108,92,80,77,93.64,84.34222222222222,1.6325748125515411,247,0.9456679969898617,16.925687506432688,1,0.5357142857142857,0.6125293568857075,29.931666122617273,27.892651361962706,4.47213595499958,2.3513406690586334,2.23606797749979,9.0,9.731798720382686,-68.69891472089832,67.94112549695427,0.9109311740890689,93.64,84.34222222222222,0,68.92802089762296,8.574126370064768,3,3.0,54.63182897862233,27.580592249836823,1,4,4,8.743556113962345,12.678160748135847,nan,18.796706832165903,2,9,0.4651642541447695,8.0,2,-11.581176470588233,5.158692810457509
10,1,225,406,130,73,101,59,114.91555555555556,65.47555555555556,1.6893643175362707,246,0.9531461317269198,16.925687506432688,1,0.5541871921182266,0.5919386301815446,30.910283388668034,29.410882339705484,4.47213595499958,2.3021801149172685,2.0,8.727680894321438,9.350677566662728,-70.8121190778531,69.11269837220809,0.9146341463414634,114.91555555555556,65.47555555555556,0,106.06137615673434,8.901290189945726,2,2.0,69.73684210526316,27.518381223126305,3,1,1,19.36234665396084,0.8975812575900752,nan,23.283945781436096,1,10,0.8315749759818681,9.0,1,0.8187813620071722,-0.36776241679467603
10,2,245,496,137,81,106,65,120.65714285714286,72.27755102040817,1.8158234307480607,266,0.9620848346348028,17.66192765414112,1,0.4939516129032258,0.5507143387768888,34.094826558717465,31.622776601683793,4.47213595499958,2.2935715572141855,2.23606797749979,8.356290217967334,9.299376973400232,-68.29768093543827,74.76955262170047,0.9210526315789473,120.65714285714286,72.27755102040817,0,73.82507618237597,8.901290189945726,1,2.0,44.31239388794567,30.228347151270707,4,2,2,20.84508680109313,1.929225912584287,nan,23.033131878516244,2,10,0.9050044479854703,9.0,2,1.8064641241111872,-0.6772001108135441
10,3,207,390,103,85,77,70,89.79710144927536,76.71497584541063,1.5430721374490395,222,0.9420934211692796,16.23454913941803,1,0.5307692307692308,0.6480578423593144,28.12377483769537,26.248809496813376,4.47213595499958,2.312505946986391,2.23606797749979,8.727680894321438,9.43132312525725,-67.18628714032056,63.35533905932738,0.9324324324324325,89.79710144927536,76.71497584541063,0,91.66711103101268,8.497527020857948,4,2.0,59.70515970515971,27.518381223126305,1,3,3,8.169275180807956,0.8501206841505088,nan,14.779788340679582,1,10,0.5527328939023445,9.0,3,-0.7631079748084062,0.3746617092849789
10,4,246,464,108,93,79,77,93.04065040650407,84.5691056910569,1.7015840328669243,269,0.9566090655385313,17.697935698969246,1,0.5301724137931034,0.5876876961022864,33.16042944215312,30.083217912982647,4.47213595499958,2.351337041648576,2.23606797749979,8.866031179492865,9.6621033481497,-68.81227094019715,72.5269119345812,0.9144981412639405,93.04065040650407,84.5691056910569,0,71.32319729271381,8.497527020857948,3,2.0,56.294536817102134,29.035756095836437,1,4,4,9.383265473824247,0.6408557120399225,nan,19.437562544205825,2,10,0.48273879260758035,9.0,4,-0.5993495934959299,0.2268834688346857
11,1,247,434,134,72,103,58,117.78542510121457,64.07692307692308,1.8343362411416688,269,0.9642613211242471,17.733870630789692,1,0.5691244239631337,0.5451563228002365,34.67918153742784,31.622776601683793,4.47213595499958,2.2867834804469385,2.0,8.488746876271655,9.188353995737668,-75.2283049627355,75.45584412271572,0.9182156133828996,117.78542510121457,64.07692307692308,0,120.59670116602697,11.03863000675238,2,2.0,70.65527065527066,29.123481547244175,3,1,1,22.551057034664023,3.1925419369816757,nan,26.476487718417772,1,11,0.8517389947827895,10.0,1,2.8698695456590144,-1.3986324786324786
11,2,304,585,147,78,108,63,127.13157894736842,69.95065789473684,2.117547632295431,337,0.9766471877293755,19.67396303746374,1,0.5196581196581197,0.47224439476527635,42.81729345984985,39.293765408777,4.47213595499958,2.3112217617734263,2.0,8.716219195512478,9.199270409329138,-75.0045206939518,89.94112549695427,0.9020771513353115,127.13157894736842,69.95065789473684,0,58.32759630817327,11.03863000675238,1,3.0,43.49315068493151,34.269315608992684,4,2,2,27.711057664013598,6.879880399012167,nan,29.91301227752841,2,11,0.9263880684069725,10.0,2,6.474436090225566,-2.326893125671333
11,3,239,434,108,85,77,71,91.89539748953975,77.4142259414226,1.7514212221140724,263,0.9591154479220908,17.44431859350499,1,0.5506912442396313,0.5709648754814898,33.026750994594764,30.805843601498726,4.47213595499958,2.3013468789316813,2.0,8.858285995000994,9.347069861437898,-74.49607308803948,72.52691193458118,0.908745247148289,91.89539748953975,77.4142259414226,0,86.90628554416391,8.871312141115533,4,3.0,63.87434554973822,29.123481547244175,1,3,3,6.796944341519992,2.2117407102465583,nan,16.99152905092614,1,11,0.40001958158965795,10.0,3,2.098296040264387,0.6992500960119656
11,4,315,585,116,93,77,78,96.37777777777778,85.06984126984128,2.1242415601120213,349,0.9771372721263268,20.026743534373637,1,0.5384615384615384,0.4707562542685895,44.06986065603135,39.293765408777,5.0,2.3422674091627256,2.0,8.677218312746247,9.36966605728558,-76.69302728362557,91.698484809835,0.9025787965616046,96.37777777777778,85.06984126984128,0,75.90947524033517,8.871312141115533,3,2.0,51.85995623632385,29.983161577445536,1,4,4,6.787365681813747,3.3744859181754925,nan,22.812048462381316,2,11,0.29753424787811555,10.0,4,3.3371273712737093,0.5007355787843721
12,1,265,442,136,71,102,58,118.19622641509434,64.00377358490566,1.923871745536003,292,0.9706946996803953,18.36868202552426,1,0.5995475113122172,0.51978516879845,37.77652933376532,34.20526275297414,4.47213595499958,2.2871491516715126,2.0,8.488746876271655,9.078306007616971,-77.79118973553385,80.04163056034261,0.9075342465753424,118.19622641509434,64.00377358490566,0,129.75764608813466,13.556171712723758,2,2.0,71.09144542772862,28.4563927511321,3,1,1,22.95735480656684,0.4172631875300703,nan,26.893750905947844,1,12,0.8536315699082933,11.0,1,0.41080131387977303,-0.07314949201742138
12,2,333,714,152,78,110,61,130.7177177177177,69.1981981981982,2.3036965739430366,372,0.9798228712749582,20.590987552733093,1,0.46638655462184875,0.43408494474095916,46.6006727959635,42.44997055358225,4.47213595499958,2.3185363833651804,2.0,8.558160931952642,9.31397435240571,-74.2137561267033,98.18376618407356,0.8951612903225806,130.7177177177177,69.1981981981982,0,48.12021439182211,13.556171712723758,1,3.0,42.41379310344828,36.40890179866439,4,2,2,31.31492738046726,3.6642307344267033,nan,33.57724301195511,2,12,0.9326235441461839,11.0,2,3.5861387703492795,-0.7524596965386365
12,3,262,476,110,85,76,71,93.00381679389314,77.23664122137404,1.9092505394955348,295,0.9674816865483584,18.26441241104166,1,0.5504201680672269,0.5237657286529936,36.89491132297012,33.734255586866,4.47213595499958,2.2985180748316116,2.0,8.907265474787533,9.33223844245683,-74.98030299493696,79.2842712474619,0.888135593220339,93.00381679389314,77.23664122137404,0,85.32354581432419,9.103484423570862,4,3.0,64.67661691542288,28.4563927511321,1,3,3,5.864558970485081,1.1225549817527771,nan,18.114084032678917,1,12,0.3237568601263557,11.0,3,1.10841930435339,-0.1775847200485572
12,4,342,645,120,93,77,78,97.88011695906432,84.92397660818713,2.258779160618077,379,0.981296021897308,20.867389014906145,1,0.5302325581395348,0.4427170293736758,48.16750039770262,43.41658669218482,4.47213595499958,2.3417970669976884,2.0,8.598898819251962,9.272477455823598,-77.27167269485581,98.52691193458118,0.9023746701846965,97.88011695906432,84.92397660818713,0,76.5488456300342,9.103484423570862,3,2.0,53.73134328358209,29.161604859210126,1,4,4,5.600411892268085,1.5094036952214611,nan,24.321452157602778,2,12,0.23026634495249168,11.0,4,1.502339181286544,-0.14586466165414436
