ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_MajorAxisLength,AreaShape_MinorAxisLength,AreaShape_Orientation,Children_transconjugants_Count,Intensity_MeanIntensity_gfp_channel_14bit,Intensity_MeanIntensity_rfp_channel_14bit,Location_Center_X,Location_Center_Y,Location_Center_Z,Neighbors_AngleBetweenNeighbors_6,Number_Object_Number,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50
295,351,249,32.8473895582329,407.542168674699,38.724400252492,8.37976956679935,48.5564290491928,0,0.0341669727101862,0.000719196308987686,32.8473895582329,407.542168674699,0,91.7414720763958,351,1405,155,0,0
295,352,76,319.776315789474,402.315789473684,14.0437568407703,7.06048554450661,7.65065307622458,0,0.0166732926093238,0.00089787297244919,319.776315789474,402.315789473684,0,155.73614366415,352,5452,25,0,0
295,353,100,359.76,407.66,26.6942752282461,5.32207384753795,-1.57042951340686,0,0.0394287025462836,0.000858777752146125,359.76,407.66,0,39.5682742083026,353,5582,23,0,0
295,354,71,238.943661971831,403.478873239437,14.0602092833236,6.54769487713964,30.9330775528294,0,0.0290471605012115,0.000986893359624164,238.943661971831,403.478873239437,0,148.745506774825,354,5830,19,0,0
295,355,103,543.679611650485,407.893203883495,21.1382566619567,6.27908508590792,-3.64785218199394,0,0.0228986071730123,0.000867542060254847,543.679611650485,407.893203883495,0,32.6757548168032,355,5685,22,0,0
295,356,126,115.865079365079,408.174603174603,23.4682532702069,7.08800597363294,33.7572998149037,0,0.0264717391322529,0.000766826401804648,115.865079365079,408.174603174603,0,54.2045338450294,356,1405,155,0,0
295,357,143,550.167832167832,410.657342657343,24.5590903853376,7.46114103439215,1.72495787803771,0,0.0192494165230464,0.000870297780143214,550.167832167832,410.657342657343,0,119.267438017365,357,5685,22,0,0
295,358,120,21.1333333333333,406.866666666667,19.784047280247,7.78176828602561,48.9144048179633,0,0.0105241475083555,0.000669871061109006,21.1333333333333,406.866666666667,0,36.8753035476677,358,1405,155,0,0
295,359,113,233.610619469027,408.796460176991,19.5404981971512,7.47388525131683,16.7116850238718,0,0.0471171593310031,0.00085666579548764,233.610619469027,408.796460176991,0,167.264633773872,359,5457,25,0,0
295,360,109,315.128440366972,410.064220183486,22.7585421673612,6.20398759354966,10.1780065826284,0,0.0358920197575054,0.000864024615820942,315.128440366972,410.064220183486,0,10.0894908658396,360,5139,32,0,0
295,361,160,511.44375,415.84375,30.8086649236617,6.7294067808045,-6.95789456702819,0,0.0435297937889118,0.000978103303350508,511.44375,415.84375,0,149.145751976141,361,6171,8,0,0
295,362,207,228.314009661836,417.159420289855,30.1767256421937,8.78730379373224,14.3419414131105,0,0.0493640419239727,0.000860992153197671,228.314009661836,417.159420289855,0,5.49908212394284,362,5489,25,0,0
295,363,191,342.120418848168,422.130890052356,36.7254047797618,6.89299545885519,9.8768106819071,0,0.0260055280090627,0.000975938279825355,342.120418848168,422.130890052356,0,46.5876054288878,363,5687,22,0,0
295,364,89,392.752808988764,416.932584269663,20.8312981297044,5.72555034058099,4.57744332890322,0,0.0349181288999788,0.000743405830659223,392.752808988764,416.932584269663,0,74.2275017303007,364,5132,32,0,0
295,365,95,464.084210526316,416.968421052632,19.216489800188,6.35338669760879,-6.8345343444316,0,0.040509330559718,0.000819811028869528,464.084210526316,416.968421052632,0,17.1548917647936,365,5453,25,0,0
295,366,81,150.123456790123,416.530864197531,20.1208787619748,5.28471078106262,-42.8148345541784,0,0.0270555649113692,0.000817582160694364,150.123456790123,416.530864197531,0,87.5225482681967,366,1405,155,0,0
295,367,235,480.23829787234,426.655319148936,38.7544587182494,7.7775952487237,10.5836270164603,0,0.0456614870974358,0.000801780435474629,480.23829787234,426.655319148936,0,170.206179334541,367,3188,84,0,0
295,368,140,156.557142857143,420.035714285714,28.2683958575277,6.42512921566789,-39.1164144367646,0,0.0379143101296255,0.000795648998713919,156.557142857143,420.035714285714,0,66.9260011327198,368,1405,155,0,0
