ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,AreaShape_MajorAxisLength,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,id,parent_id,NoiseObject,UnexpectedEnd_by_CellProfiler,UnexpectedEnd_by_Trackrefiner,UnexpectedBeginning_by_CellProfiler,UnexpectedBeginning_by_Trackrefiner,TrackingLinkModified
9,5,1.1642666666666666,18.54293333333333,5.13883196211223,0.0,0,0,0,True,False,False,False,False,False
9,6,1.3688470588235293,21.55256470588235,1.7222094043053784,0.0,0,0,0,True,False,False,False,False,False
9,7,1.0324539722572508,45.03901134930643,56.558732239781506,0.0,0,0,0,True,False,False,False,False,False
9,61,0.8224941176470588,76.93327058823529,6.74770478890285,0.0,0,0,0,True,False,False,False,False,False
9,62,44.3328,78.07330909090908,3.2769424350668763,0.0,0,88,0,False,False,False,True,False,False
9,64,19.17128033472803,80.50624267782426,5.9615002608848915,0.0,0,89,0,False,False,False,True,False,False
9,67,10.883277108433733,81.2454939759036,2.7312518157619072,0.0,0,90,0,False,False,False,True,False,False
10,1,13.49025882352941,1.5873882352941175,20.521458495184447,0.0,0,0,0,True,False,False,False,False,False
10,2,50.532170212765955,1.7366808510638296,58.83390821056184,0.0,0,0,0,True,False,False,False,False,False
10,3,79.49496774193547,3.242322580645161,4.195414833273124,0.0,0,0,0,True,False,False,False,False,False
10,4,1.9397647058823528,13.97647058823529,3.3339210955540772,0.0,0,0,0,True,False,False,False,False,False
10,5,1.9633170731707317,16.07882926829268,1.2295166576454348,0.0,0,0,0,True,False,False,False,False,False
10,6,1.634232558139535,17.41395348837209,1.9539990877596098,0.0,0,0,0,True,False,False,False,False,False
10,7,1.656,21.528,1.84409978038066,0.0,0,0,0,True,False,False,False,False,False
10,8,1.2847304347826085,23.56966956521739,2.653122611146707,0.0,0,0,0,True,False,False,False,False,False
10,9,0.7874378920953575,47.236020075282305,54.51860207832406,0.0,0,0,0,True,False,False,False,False,False
10,63,0.6102127659574468,76.9215319148936,6.475782215888457,0.0,0,0,0,True,False,False,False,False,False
11,1,13.449354632587859,1.5947348242811499,20.48594789646014,0.0,0,0,0,True,False,False,False,False,False
11,2,50.72627282976324,1.7057587373167982,58.81746858099989,0.0,0,0,0,True,False,False,False,False,False
11,3,78.91885714285714,3.051428571428571,3.850489927846425,0.0,0,0,0,True,False,False,False,False,False
11,4,2.065889763779527,10.673007874015747,2.9665445751706043,0.0,0,0,0,True,False,False,False,False,False
11,5,1.7963211678832112,14.211854014598542,4.055040588979722,0.0,0,0,0,True,False,False,False,False,False
11,6,1.143111111111111,17.46488888888889,7.458652135663064,0.0,0,0,0,True,False,False,False,False,False
11,7,1.796072727272727,16.083490909090905,1.5962922291051462,0.0,0,0,0,True,False,False,False,False,False
11,8,1.5001791044776118,21.52262686567164,1.7369706705547021,0.0,0,0,0,True,False,False,False,False,False
11,9,1.0458364372469635,45.25465263157895,56.79905375368871,0.0,0,0,0,True,False,False,False,False,False
11,65,0.8222485207100592,76.93434319526627,6.616436430814009,0.0,0,0,0,True,False,False,False,False,False
11,73,15.764072727272728,81.73178181818182,1.661228953145447,10.0,70,78,0,False,True,False,False,False,False
12,1,13.07399387129724,1.6307742594484165,21.38189698682626,0.0,0,0,0,True,False,False,False,False,False
12,2,51.47433849751535,1.776322712657118,61.23738088794626,0.0,0,0,0,True,False,False,False,False,False
12,3,0.968,11.953999999999999,3.9287925151834977,0.0,0,0,0,True,False,False,False,False,False
12,4,1.2808918032786885,18.3168,5.40847570373782,0.0,0,0,0,True,False,False,False,False,False
12,5,1.677176470588235,21.526588235294117,1.7789230072925923,0.0,0,0,0,True,False,False,False,False,False
12,6,0.9819073569482288,45.557264305177114,57.20808788571078,0.0,0,0,0,True,False,False,False,False,False
12,12,70.3368,48.5196,2.82107805259439,11.0,15,97,4,False,True,False,False,False,False
12,67,0.7793684210526316,76.95978947368421,6.638678291022261,0.0,0,0,0,True,False,False,False,False,False
12,75,12.01655172413793,81.51144827586207,1.666838051714613,11.0,72,109,90,False,True,False,False,False,False
12,78,38.147796610169486,82.91715254237288,2.0991245417113924,0.0,0,111,0,False,True,False,True,False,False
13,1,13.244038095238093,1.6106666666666662,20.96489365907839,0.0,0,0,0,True,False,False,False,False,False
13,2,51.860375070185285,1.7510836608646823,61.78730373780386,0.0,0,0,0,True,False,False,False,False,False
13,3,1.489101639344262,9.350085245901639,6.109187849106103,0.0,0,0,0,True,False,False,False,False,False
13,4,1.9649999999999999,14.478000000000002,2.5836203987782747,0.0,0,0,0,True,False,False,False,False,False
13,5,1.2959999999999998,17.92494208494208,5.266412873003228,0.0,0,0,0,True,False,False,False,False,False
13,6,1.5959999999999999,21.468,1.8826396227145765,0.0,0,0,0,True,False,False,False,False,False
13,7,0.9661136842105262,45.43048421052631,57.21317253947608,0.0,0,0,0,True,False,False,False,False,False
13,23,67.09808219178082,52.86476712328767,3.2229156742706255,0.0,0,112,0,False,False,False,False,True,True
13,68,0.7571612903225805,76.97297695852534,6.77850561303917,0.0,0,0,0,True,False,False,False,False,False
13,75,10.238197183098592,80.93205633802816,1.9637152191711669,12.0,74,108,90,False,True,False,False,False,False
13,76,22.399999999999995,82.15058823529411,5.213589139301191,12.0,76,110,89,False,True,False,False,False,False
13,78,15.693000000000001,81.79799999999999,1.7198311875349068,0.0,0,113,0,False,True,False,True,False,False
13,79,13.042723404255321,82.89497872340425,1.4938904753277655,0.0,0,114,0,False,True,False,True,False,False
14,1,43.05523704215617,1.664077401520387,81.44401423871649,0.0,0,0,0,True,False,False,False,False,False
14,2,79.51868852459016,3.186885245901639,3.7208897952026945,0.0,0,0,0,True,False,False,False,False,False
14,3,1.5024374999999999,10.35,6.115531885209427,0.0,0,0,0,True,False,False,False,False,False
14,4,1.9799999999999998,16.016399999999997,1.1474737088979727,0.0,0,0,0,True,False,False,False,False,False
14,5,1.054120996441281,19.156612099644125,6.0326079525759875,0.0,0,0,0,True,False,False,False,False,False
14,6,1.5263999999999998,21.528,1.7636459659717962,0.0,0,0,0,True,False,False,False,False,False
14,7,0.9853433230498017,40.44673776994271,43.708102220888534,0.0,0,0,0,True,False,False,False,False,False
14,41,0.8084210526315788,66.87214035087719,13.487070094386324,0.0,0,0,0,True,False,False,False,False,False
14,71,0.7516261682242991,76.97540186915887,6.749607444150504,0.0,0,0,0,True,False,False,False,False,False
15,1,12.227363265306122,1.6543836734693877,22.216820977048112,0.0,0,0,0,True,False,False,False,False,False
15,2,50.9242853688029,1.6909117291414753,59.7565017093609,0.0,0,0,0,True,False,False,False,False,False
15,3,79.5702857142857,3.158857142857143,3.827251980705679,0.0,0,0,0,True,False,False,False,False,False
15,4,0.9814525139664804,11.865921787709496,5.2536078666961155,0.0,0,0,0,True,False,False,False,False,False
15,5,1.9794285714285709,13.984,3.9358747489779824,0.0,0,0,0,True,False,False,False,False,False
15,6,1.053592476489028,18.963310344827583,5.818171392390121,0.0,0,0,0,True,False,False,False,False,False
15,7,1.495880597014925,21.501134328358205,1.8006354375955607,0.0,0,0,0,True,False,False,False,False,False
15,8,0.9832688741721854,40.35216953642384,43.7507489978372,0.0,0,0,0,True,False,False,False,False,False
15,14,40.63438167938931,48.25209160305343,3.0957667816561774,14.0,13,51,5,False,True,False,False,False,False
15,45,0.8067945205479451,66.90194911937377,13.431284455164928,0.0,0,0,0,True,False,False,False,False,False
15,77,0.7489377990430622,76.90977990430622,6.60723177770233,0.0,0,0,0,True,False,False,False,False,False
15,84,10.500923076923076,80.67323076923077,1.810638118491439,0.0,0,132,0,False,False,False,True,False,False
15,86,11.89580487804878,81.31785365853659,1.2780514171787594,0.0,0,133,0,False,False,False,True,False,False
15,89,24.016235294117646,82.98423529411764,2.655841581595273,0.0,0,135,0,False,True,False,True,False,False
16,1,12.593322314049587,1.5182809917355369,22.00717748831971,0.0,0,0,0,True,False,False,False,False,False
16,2,51.468237252861606,1.5807408949011446,61.03960714537852,0.0,0,0,0,True,False,False,False,False,False
16,3,1.6799999999999997,12.737943925233644,7.194258038717362,0.0,0,0,0,True,False,False,False,False,False
16,4,1.9187999999999998,15.9948,1.200763847044986,0.0,0,0,0,True,False,False,False,False,False
16,5,1.2258305084745762,18.34291525423729,4.2161957215382255,0.0,0,0,0,True,False,False,False,False,False
16,6,1.5839999999999999,21.39264,1.7860690975045752,0.0,0,0,0,True,False,False,False,False,False
16,7,1.0848396226415093,37.83481132075472,36.48113938117491,0.0,0,0,0,True,False,False,False,False,False
16,12,38.834109890109886,47.23832967032966,2.5384286481833622,0.0,0,136,0,False,False,False,True,False,False
16,22,46.267672131147535,52.007606557377045,3.3347723237399602,15.0,21,52,5,False,True,False,False,False,False
16,33,0.8955675675675676,63.40454054054054,20.52870913384069,0.0,0,0,0,True,False,False,False,False,False
16,79,0.8200239520958083,76.80373652694611,6.582906141718102,0.0,0,0,0,True,False,False,False,False,False
16,90,15.6896,81.70239999999998,1.8283431531793128,0.0,0,143,0,False,True,False,True,False,False
16,92,38.368,82.9536,1.7960927841247438,0.0,0,144,0,False,False,False,True,False,False
17,1,12.563664804469273,1.5077094972067038,22.036423546711564,0.0,0,0,0,True,False,False,False,False,False
17,2,51.0536073553272,1.5663212547322876,60.1891128390448,0.0,0,0,0,True,False,False,False,False,False
