stepNum,ObjectNumber,Location_Center_X,Location_Center_Y,AreaShape_MajorAxisLength,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,id,parent_id,noise_bac,unexpected_end,unexpected_beginning,changed
306,74,62.89663366,11.7110495,2.66340298,0,0,25843,0,FALSE,FALSE,TRUE,FALSE
306,76,50.39614286,12.31457143,3.495392867,0,0,25844,0,FALSE,FALSE,TRUE,TRUE
306,90,47.19072,15.47568,6.897651232,305,80,25273,25126,FALSE,FALSE,FALSE,TRUE
306,91,61.26924255,14.37916596,5.249856791,305,91,25269,25128,FALSE,FALSE,FALSE,TRUE
306,94,59.81369492,14.74901695,4.13969688,305,124,25620,25355,FALSE,FALSE,FALSE,TRUE
306,97,52.14109091,15.72988235,4.895139102,305,122,25362,24044,FALSE,FALSE,FALSE,TRUE
306,103,76.37115789,14.43978947,2.005624244,0,0,25851,0,FALSE,FALSE,TRUE,TRUE
306,104,24.33461538,14.61323077,4.376364595,305,108,18900,17815,FALSE,FALSE,FALSE,TRUE
306,113,24.5197037,15.79555556,5.005398599,305,121,20318,19280,FALSE,FALSE,FALSE,TRUE
306,114,61.20815094,16.38203774,2.668316799,0,0,25853,0,FALSE,FALSE,TRUE,TRUE
306,130,61.67586207,18.39972414,4.384693936,0,0,25750,25361,FALSE,FALSE,FALSE,TRUE
306,136,62.01107027,19.73422703,4.608480515,305,162,25641,0,FALSE,FALSE,FALSE,TRUE
306,158,13.55029787,21.85991489,5.48075434,0,0,25862,0,FALSE,FALSE,TRUE,TRUE
306,169,16.761375,23.9731875,5.506873725,0,0,25864,0,FALSE,FALSE,TRUE,TRUE
306,171,61.69069194,24.79188626,4.704729627,305,199,25453,24151,FALSE,FALSE,FALSE,TRUE
306,172,34.54118182,24.91281818,4.515397885,305,191,25767,25374,FALSE,FALSE,FALSE,TRUE
306,178,59.85230769,25.35230769,3.683125888,0,0,25868,22761,FALSE,FALSE,FALSE,TRUE
306,180,20.7333578,24.66891743,2.604824381,0,0,25869,0,FALSE,FALSE,TRUE,TRUE
306,193,61.18729412,28.04329412,4.772861855,305,192,25653,25372,FALSE,FALSE,FALSE,TRUE
306,207,37.44569784,30.20840288,6.236305028,0,0,25876,0,FALSE,FALSE,TRUE,TRUE
306,209,9.920359551,29.14759551,11.76576311,305,224,25877,25776,FALSE,FALSE,FALSE,TRUE
306,211,33.93455172,35.59137931,19.16926352,0,0,0,0,TRUE,FALSE,FALSE,FALSE
306,215,30.81306122,29.43918367,2.462592115,0,0,25879,0,FALSE,FALSE,TRUE,TRUE
306,224,29.96274627,30.95462687,3.319142357,0,0,25884,0,FALSE,FALSE,TRUE,TRUE
306,233,63.64148148,33.00148148,5.91993237,305,228,23834,21545,FALSE,FALSE,FALSE,TRUE
306,242,61.42335604,34.98352941,7.488892557,0,0,25889,0,FALSE,FALSE,TRUE,TRUE
306,250,33.3,35.01,5.059083988,0,0,0,0,TRUE,FALSE,FALSE,FALSE
306,252,58.46278992,33.98036975,3.086410579,0,0,25892,0,FALSE,FALSE,TRUE,TRUE
306,259,57.05563636,35.35854545,3.066378101,305,280,23470,0,FALSE,FALSE,FALSE,TRUE
306,261,18.4496,35.1664,2.379855945,0,0,25895,0,FALSE,FALSE,TRUE,TRUE
306,268,15.43223762,36.11976238,2.502983,0,0,25897,0,FALSE,FALSE,TRUE,TRUE
306,272,65.36084211,36.23494737,2.178637485,305,289,23461,21865,FALSE,FALSE,FALSE,TRUE
306,281,64.12393958,39.76357704,7.463022644,305,264,25900,23950,FALSE,FALSE,FALSE,TRUE
306,297,50.24772414,40.36468966,4.535596816,0,0,25903,0,FALSE,FALSE,TRUE,TRUE
306,317,33.43628571,43.73657143,4.210268771,305,310,25385,25010,FALSE,FALSE,FALSE,TRUE
306,318,49.85113043,43.53913043,3.506051613,305,328,25790,0,FALSE,FALSE,FALSE,TRUE
306,339,48.47596639,45.84040336,3.135864569,0,0,25912,0,FALSE,FALSE,TRUE,TRUE
306,348,79.93380822,46.41830137,4.212615414,0,0,25915,0,FALSE,FALSE,TRUE,TRUE
306,349,37.00683871,47.46425806,3.146382201,0,0,25916,0,FALSE,FALSE,TRUE,TRUE
306,410,74.02628571,57.27214286,7.153071214,0,0,25932,0,FALSE,FALSE,TRUE,TRUE
306,423,36.38309434,56.63818868,2.730657227,305,411,25537,24317,FALSE,FALSE,FALSE,TRUE
306,470,46.20380488,62.39678049,4.95870847,305,468,25809,25552,FALSE,FALSE,FALSE,TRUE
306,473,30.2,61.312,2.484075742,0,0,25947,0,FALSE,FALSE,TRUE,FALSE
306,483,31.79441096,61.80953425,2.458258257,0,0,25948,0,FALSE,FALSE,TRUE,FALSE
